망장애작업일련번호|망장애작업복구번호|복구소요시간;
9802559|1|240;
9802561|1|240;
9802564|1|240;
9802565|1|240;
9802566|1|240;
9802567|1|240;
9787313|1|240;
9790561|1|240;
9797809|1|240;
9802893|1|240;
9802894|1|240;
9802899|1|240;
9800891|1|240;
9795627|1|240;
9796306|1|240;
9796325|1|240;
9789519|1|240;
9791389|1|240;
9801440|1|240;
9802901|1|180;
10612432600|2785222|91;
10612329600|2785316|255;
10612438700|2785220|3;
10612438700|2785221|3;
10612438700|2785136|3;
10612438700|2785137|3;
10612438700|2785138|3;
10612438700|2785017|3;
10612438700|2785018|3;
10612438700|2785313|3;
10612438700|2785314|3;
10612438700|2785315|3;
10612438700|2785394|3;
10612438700|2784946|3;
10612438700|2784947|3;
10612438700|2784948|3;
10612438700|2784864|3;
10612438700|2784865|3;
10612438700|2784866|3;
10612438700|2785479|3;
9803566|2785225|452;
9803567|2785226|453;
10612441000|2785227|5;
10612441100|2784949|5;
10612440600|2785224|5;
5577856103|1|94;
10612305900|2785228|437;
10612438400|2785480|5;
5577890903|2785140|11;
10612073000|2785229|1416;
5577887303|2785482|31;
9803571|1|51;
10612438000|2785484|107;
10612440900|2784867|5;
10612432100|2784862|9;
10612438100|2785135|4;
10612441500|2785141|7;
10612441500|2784950|7;
10612442300|2785142|5;
10612442300|2785019|4;
10612442300|2785020|5;
10612442300|2785397|4;
10612442300|2785398|4;
10612442300|2784952|4;
10612442300|2784953|4;
10612442300|2784868|5;
10612442300|2785488|4;
10612036100|2785399|1957;
10612443500|2784869|2;
10612443400|2785400|5;
10612438500|2785395|18;
10612441400|2785396|4;
5011437017801|2784929|9;
10612443600|2785572|15;
10612444500|2785573|1;
10612441900|2785233|45;
5577916003|1|20;
10611981200|2785402|2654;
10612008700|2785403|2421;
10612051800|2785022|1706;
10611969900|2785491|2758;
10611970000|2785492|2758;
10612020000|2785237|2326;
10612078800|2785575|1439;
10612078000|2785238|1439;
10612078100|2785404|1439;
10612077500|2785319|1439;
10612079000|2785576|1439;
10612079200|2785494|1439;
10612078400|2785577|1439;
10612445100|2785234|4;
10612445100|2785144|4;
10612445100|2785021|4;
10612445100|2785317|4;
10612445100|2785490|4;
10612445100|2785493|9;
10612081700|2785320|1436;
